"","Time","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","Amount","Class"
"Time",1,0.117396305978387,-0.0105933271213427,-0.419618172211526,-0.105260205445729,0.173072123310391,-0.0630164703731506,0.0847143748049895,-0.0369494346900087,-0.00866043369768416,0.0306166285923197,-0.247689437486673,0.124348068371933,-0.0659020236976177,-0.0987568192062253,-0.183453273481034,0.011902867722434,-0.0732972133177972,0.0904381325486104,0.0289753025611344,-0.0508660184683539,0.044735726289081,0.144059054861464,0.051142364941773,-0.0161818684593075,-0.233082790598311,-0.0414071006060583,-0.00513459112399725,-0.00941268817905226,-0.0105963733890292,-0.0123225709292458
"V1",0.117396305978387,1,-6.96528411408616e-17,-5.68925680186857e-16,-2.60286303408551e-16,3.14693113976237e-16,1.492868395015e-16,7.84177488739026e-17,-5.44614465923791e-17,3.8131983908933e-17,5.32367588378812e-17,3.00228600495088e-16,1.81854218160115e-16,-4.92452160984768e-17,3.87277551433835e-16,-9.1352216436891e-17,3.34985662979175e-16,-2.37374408360671e-17,1.46896069795531e-16,1.64992759430455e-16,1.43258146601957e-16,-9.27167517128272e-17,9.61133608798993e-17,1.75789144968558e-16,-5.15713243397219e-17,-2.39062280482822e-16,-1.26419121182699e-16,9.65771063478681e-17,3.67991002684261e-16,-0.227708652922404,-0.101347298595086
"V2",-0.0105933271213427,-6.96528411408616e-17,1,5.20740201013319e-17,-1.61321287709786e-16,1.11912439129895e-16,3.87054497614607e-16,-1.30763746515383e-16,-2.46125531165754e-17,-1.12319215064331e-16,-1.34276001533582e-16,3.43882154552927e-16,-3.24983205711557e-16,-3.78139501291824e-17,-3.80671117323212e-16,6.45704611181293e-17,4.06840593603323e-17,-6.40358479353184e-16,2.33423561017758e-16,1.20254825093462e-17,8.19404944412798e-17,8.03959322518011e-17,1.7010331125322e-16,1.34671907494779e-16,-1.07103038972999e-16,1.1570836984779e-16,2.62079174337898e-16,-5.26719727075683e-16,-3.78174691710886e-16,-0.531408939328033,0.0912886503446202
"V3",-0.419618172211526,-5.68925680186857e-16,5.20740201013319e-17,1,-2.22973429667074e-16,-6.01487050266084e-16,1.42720953532225e-15,2.2973929271353e-16,-7.35649278180298e-17,1.03712259173102e-16,2.04770409099919e-16,1.1366581947783e-16,2.10584159847279e-16,-3.51951677923547e-17,6.69846111764595e-16,-6.31248194918809e-17,5.71403819828239e-16,9.2215629393418e-17,3.12831299687942e-16,3.45658140132242e-16,7.00488674892008e-17,-1.59215510999369e-16,-2.25764060225147e-16,-7.68308962985904e-17,2.52686486232483e-17,1.14595548052387e-16,-2.16413392558809e-16,5.24779117839665e-16,7.32856857804831e-16,-0.21088047528991,-0.192960827067415
"V4",-0.105260205445729,-2.60286303408551e-16,-1.61321287709786e-16,-2.22973429667074e-16,1,-1.84149207454851e-15,-4.24748458527724e-16,-7.42398801100234e-17,6.40539644186837e-16,5.95632982825838e-16,-1.04436955762143e-16,-2.92183142526514e-16,-1.93919625507016e-16,1.73299916432407e-17,-9.66857365498053e-17,1.84407633548417e-16,-4.18293513815378e-17,-3.72792834171519e-16,-1.51483688600421e-17,-2.88433444245665e-16,-1.83799142475423e-16,-5.92562207881675e-17,2.37187923378787e-16,2.00043369594282e-16,1.60624086148362e-16,6.47312289186109e-16,-4.04084793124385e-16,-1.05900922027952e-16,-3.46329889066146e-18,0.0987316663135647,0.133447486239006
"V5",0.173072123310391,3.14693113976237e-16,1.11912439129895e-16,-6.01487050266084e-16,-1.84149207454851e-15,1,6.26685434906813e-16,-2.01179834852226e-17,5.16009390323894e-16,4.85554993593354e-16,1.09766936681221e-16,7.26848733865737e-16,3.91588767131466e-16,-2.92590601209054e-16,2.42852425099961e-16,1.15176153142457e-16,6.01489536253426e-16,4.23945306775897e-16,4.13466397045527e-16,-1.19241162572108e-16,-1.93038606049438e-16,-7.20726760054981e-17,2.27878416588511e-17,1.1025084706354e-16,-9.70966500112874e-16,-1.05876701723348e-16,3.38728539088946e-16,4.52668641560421e-16,-1.77630740875679e-16,-0.38635625616306,-0.0949742989914493
"V6",-0.0630164703731506,1.492868395015e-16,3.87054497614607e-16,1.42720953532225e-15,-4.24748458527724e-16,6.26685434906813e-16,1,-4.98056657323093e-17,-3.46494620312738e-16,-9.7208585670142e-17,1.36754208650081e-16,8.79728431059356e-16,2.77728053772047e-16,-1.58607874582028e-16,3.37790304433071e-16,-1.12206234367215e-16,-1.03902246454202e-16,1.24695130635849e-16,5.57412656743818e-17,8.16976194109753e-17,1.16143870602824e-16,-8.65765819081189e-17,-1.15346551088623e-16,3.4844825213089e-17,-1.0737786642004e-15,5.5467562086713e-16,-2.54049148058046e-16,-1.38776528854691e-16,4.32111187644182e-16,0.215981180225279,-0.0436431606999643
"V7",0.0847143748049895,7.84177488739026e-17,-1.30763746515383e-16,2.2973929271353e-16,-7.42398801100234e-17,-2.01179834852226e-17,-4.98056657323093e-17,1,-1.22099496819021e-17,7.58156336370609e-18,3.05821456595921e-16,-3.65411742200754e-16,6.62894023814104e-16,-6.2223103650103e-17,3.32323567962154e-17,-3.68668956360499e-17,4.92449891160912e-16,5.44583815710192e-16,2.00110412692923e-16,-7.32631192710812e-17,2.16013491314191e-16,9.84232171744299e-18,-6.60008282737143e-16,-2.64179349760308e-16,-7.01226041611484e-18,1.86157699081659e-17,-7.83306122454708e-16,-1.85676943475726e-16,8.20838081088065e-17,0.397311278181689,-0.1872565915143
"V8",-0.0369494346900087,-5.44614465923791e-17,-2.46125531165754e-17,-7.35649278180298e-17,6.40539644186837e-16,5.16009390323894e-16,-3.46494620312738e-16,-1.22099496819021e-17,1,4.23461754532114e-16,-1.37584057760772e-18,1.37127972862373e-16,3.1250713645147e-17,-2.95680705240308e-16,-2.67126177138926e-16,1.06386930903806e-16,1.62464943431465e-16,-3.62385427463057e-16,-3.32598352562528e-16,-3.34956041364523e-16,1.26193031945825e-16,2.68569996398716e-17,2.51918456385682e-17,1.91877333967642e-16,-2.11591991245904e-16,-1.56808864942842e-16,2.09644339195125e-18,3.20313919176536e-16,-5.80831303617924e-16,-0.10307909564498,0.0198751239147946
"V9",-0.00866043369768416,3.8131983908933e-17,-1.12319215064331e-16,1.03712259173102e-16,5.95632982825838e-16,4.85554993593354e-16,-9.7208585670142e-17,7.58156336370609e-18,4.23461754532114e-16,1,-2.69939779289722e-16,3.13963905381612e-16,-1.25053158368121e-15,9.31587284947394e-16,9.30831510167684e-16,-8.88641519275561e-16,-4.60910582463677e-16,7.04694832550633e-16,1.4544437013849e-16,1.17561841414039e-16,-3.5535839200097e-16,2.37197828957367e-16,-1.71596875629402e-16,-8.97597002480064e-17,-2.81788270024786e-16,2.42857273861463e-16,-9.56591369769435e-17,-1.73043112893039e-16,7.96143007089446e-16,-0.0442456019644455,-0.0977326860740799
